Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342665,11,La Belle Claire,218.45,0,511.71,0,42,0.002623475,,
1/01/2024,Canterbury,R2 1200m 3yo,2,222975985,64342666,12,Llanddwyn,20.85,0,19.58,1,2.99,-0.003110892,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,2290676,7,Ravenclaw,4.95,0,5.33,1,1.62,0.014402941,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,2918568,9,Val Disere,16.13,0,28.52,0,4.33,0.026933167,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,4567523,11,Wipeout,24.64,0,21.61,0,3.94,-0.005690457,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342667,1,Aranese,72.44,0,146.1,0,12.7,0.006959901,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342668,2,Baile Fervor,29.17,0,17.97,0,3.72,-0.021366506,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342669,4,Ghaznavi,40.37,0,52.04,0,9.4,0.005554882,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342670,5,Horns,20.5,1,16.69,1,3.1,-0.01113563,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342671,6,Maracaibo Sun,25.7,0,15.44,1,3.49,-0.025856334,,
1/01/2024,Canterbury,R3 1200m 3yo,3,222975993,64342672,10,Viaconi,1.87,0,1.78,0,1.14,-0.027038395,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,2197659,2,Capital Asset,8.41,0,13.5,0,3.45,0.04483199,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,2456247,9,Botanica,10.15,0,10.26,1,3.3,0.001056281,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,25462994,8,Lancaster Bomber,11.77,1,9.34,1,2.8,-0.022104614,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,47240779,6,Castillian,5.94,0,5.14,0,2.23,-0.026202361,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,56807291,1,Huon,9.51,0,9.79,0,3,0.003007425,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,57626114,7,Cream Rises,35.27,0,42,0,9.01,0.004543184,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,64342673,3,Amati,7.17,0,5.3,0,2.18,-0.049209231,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,64342674,4,Fangela,6,0,6.72,1,2.81,0.017857143,,
1/01/2024,Canterbury,R4 1250m Hcap,4,222976001,8477645,5,One Destiny,11.16,0,8.36,0,3.13,-0.03001149,,
1/01/2024,Canterbury,R5 1550m Hcap,5,222976009,2426341,1,Malabar,9.27,0,5,1,2.08,-0.092125135,,
