Date,Track,Race Name,Race,MarketID,SelectionID,Number,Horse,Rank,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP
1/01/2024,Flemington,R7 1400m Listed,7,222975960,11036821,6,Morvada,1,0,18.56,0,4.95
1/01/2024,Flemington,R7 1400m Listed,7,222975960,44185911,5,Struck By,2,0,6.89,1,2.6
1/01/2024,Flemington,R7 1400m Listed,7,222975960,42010912,3,Unusual Culture,3,0,4.01,0,1.63
1/01/2024,Flemington,R7 1400m Listed,7,222975960,27365785,1,Not An Option,4,1,14.88,1,4.2
1/01/2024,Flemington,R7 1400m Listed,7,222975960,2522495,13,Who Dares,5,0,8.4,1,2.78
1/01/2024,Flemington,R8 1400m Hcap,8,222975968,666162,2,Bel Air,1,1,3.98,1,1.56
1/01/2024,Flemington,R8 1400m Hcap,8,222975968,49683819,3,Tasman Park,2,0,6.83,0,2.18
1/01/2024,Flemington,R8 1400m Hcap,8,222975968,17567771,5,Helix,3,0,8.32,1,2.5
1/01/2024,Flemington,R8 1400m Hcap,8,222975968,64343061,8,Call Him Iggy,4,0,3.75,0,1.64
1/01/2024,Flemington,R8 1400m Hcap,8,222975968,64343063,13,El Soleado,5,0,11.97,1,2.88
1/01/2024,Inverell,R1 1050m Mdn,1,223036990,64342598,7,Evasive Nature,1,1,1.32,1,1.09
1/01/2024,Inverell,R1 1050m Mdn,1,223036990,64342597,5,Spirit Of Saintly,2,0,37.01,0,6.57
1/01/2024,Inverell,R1 1050m Mdn,1,223036990,41921558,13,Star Diamond,3,0,34.89,0,3.69
1/01/2024,Inverell,R1 1050m Mdn,1,223036990,53486707,11,Wet And Windy,4,0,32.77,0,3.8
1/01/2024,Inverell,R1 1050m Mdn,1,223036990,64342595,2,Blazed Prince,5,0,5.6,0,1.58
1/01/2024,Inverell,R2 1400m Mdn,2,223036995,64342607,5,Too Many Stars,1,1,2.09,1,1.25
1/01/2024,Inverell,R2 1400m Mdn,2,223036995,64342604,1,Friars Destiny,2,0,10.5,0,2.36
1/01/2024,Inverell,R2 1400m Mdn,2,223036995,60816343,2,Wanda River,3,0,5.7,0,1.78
1/01/2024,Inverell,R2 1400m Mdn,2,223036995,64342609,8,Dance Off,4,0,29.53,1,5.2
1/01/2024,Inverell,R2 1400m Mdn,2,223036995,64342608,7,Charlie Bali,5,0,14.55,0,4.2
1/01/2024,Inverell,R3 1050m Hcap,3,223037000,58407178,8,Wedding Tent,1,0,5.24,0,2.31
1/01/2024,Inverell,R3 1050m Hcap,3,223037000,27346342,3,Amazingly,2,0,33.06,0,7.37
1/01/2024,Inverell,R3 1050m Hcap,3,223037000,48290697,9,The Affirmative,3,0,4.95,1,1.75
1/01/2024,Inverell,R3 1050m Hcap,3,223037000,3941717,2,Kings Gold,4,0,5.62,1,2.26
1/01/2024,Inverell,R3 1050m Hcap,3,223037000,20386827,5,Indian Thunder,5,0,12.82,0,3.86
1/01/2024,Inverell,R4 1600m Hcap,4,223037005,42279353,3,Come On Eileen,1,0,5.76,1,2.04
1/01/2024,Inverell,R4 1600m Hcap,4,223037005,62660037,5,Sacred Girl,2,0,8,0,2.16
1/01/2024,Inverell,R4 1600m Hcap,4,223037005,64342621,6,Leica Model,3,0,4.32,0,1.73
1/01/2024,Inverell,R4 1600m Hcap,4,223037005,24619429,8,Flying Banjo,4,0,7.8,0,2.62
1/01/2024,Inverell,R4 1600m Hcap,4,223037005,31814312,2,China Grove,5,0,14.07,0,3.95
1/01/2024,Inverell,R5 1400m CL1,5,223037010,39679211,2,Hallowed Son,1,0,26,1,4.7
1/01/2024,Inverell,R5 1400m CL1,5,223037010,55244202,4,Super Duck,2,0,2.33,0,1.28
1/01/2024,Inverell,R5 1400m CL1,5,223037010,53183951,11,Salt And Pepper,3,0,14,0,3.25
1/01/2024,Inverell,R5 1400m CL1,5,223037010,57148312,3,Extreme Merger,4,0,4.11,1,1.44
1/01/2024,Inverell,R5 1400m CL1,5,223037010,64342623,5,Awaygoesthebunny,5,1,8,1,2
1/01/2024,Inverell,R6 1050m Hcap,6,223037015,62393998,6,Bottom Bar,1,0,5.37,1,2.18
1/01/2024,Inverell,R6 1050m Hcap,6,223037015,36685351,9,Voulait,2,0,7.8,0,2.4
1/01/2024,Inverell,R6 1050m Hcap,6,223037015,58600623,5,Another Spirit,3,1,8.44,1,2.7
1/01/2024,Inverell,R6 1050m Hcap,6,223037015,4820351,4,Small Town,4,0,3.25,0,1.56
