EVENT_DATE,PATH,GROUP,STATE,EVENT_ID,MARKET_ID,MARKET_NAME,SELECTION_ID,RUNNER_NAME,IS_WINNER,BEST_BACK_PRICE_60_MIN_PRIOR,BEST_LAY_PRICE_60_MIN_PRIOR,IMPLIED_PROB,MATCHED_VOLUME_60_MIN_PRIOR,TOTAL_MATCHED_VOLUME,LAST_PREPLAY_PRICE
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919177,Seat of Mallee,8498800,Independent,0,17,,6%,13,13,17
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919177,Seat of Mallee,1111887,Any Other Party,0,27,,4%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919177,Seat of Mallee,2049781,Labor,0,18,,6%,,,
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197919230,Seat of Maranoa,2365174,Any Other Party or Independent,0,20,,5%,,,
2022-05-27 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,QLD,31355989,197919230,Seat of Maranoa,2049782,Coalition,1,,1.01,,11267.31,11267.31,1.01
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919178,Seat of Maribyrnong,2049781,Labor,1,1.01,1.04,99%,11157.13,11237.13,1.01
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919178,Seat of Maribyrnong,2365174,Any Other Party or Independent,0,15,,7%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919268,Seat of Mayo,2365174,Any Other Party or Independent,0,18,,6%,,,
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919268,Seat of Mayo,19008673,Centre Alliance,1,1.01,1.17,99%,3883.99,4383.76,1.06
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919268,Seat of Mayo,2049782,Coalition,0,8.6,,12%,2,2,8.6
2022-05-23 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,SA,31356074,197919268,Seat of Mayo,2049781,Labor,0,15,,7%,,,
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919179,Seat of McEwen,2049781,Labor,1,1.17,1.19,85%,5641.54,5641.54,1.19
2022-05-24 00:00:00.000 Z,2022 Australian Federal Election,Individual Electorates,VIC,31339813,197919179,Seat of McEwen,2049782,Coalition,0,4,,25%,306,306,6.2
