DATE,VENUE,tipster,market_id,selection_id,bet_type,bet_text,SELECTION_NAME,WIN_LOSE,BSP,Tipster_Profit,Back_Profit,Lay_Profit,
21/10/2023,Caulfield,Bella Anderson,219890418,61861517,Back,Back 2. Brave Mead,2. Brave Mead,1,2.39,1.39,1.39,-1.00,
21/10/2023,Caulfield,Lay Back with Betfair,219890418,61861517,Back,Back 2. Brave Mead,Brave Mead,1,2.39,1.39,1.39,-1.00,
21/10/2023,Caulfield,Bella Anderson,219890427,526804,Back,Back 4. Gold Bullion,4. Gold Bullion,0,8.45,-1.00,-1.00,0.13,
21/10/2023,Caulfield,Lay Back with Betfair,219890428,56053618,Back,Back 6. Gates,Gates,1,3.47,2.47,2.47,-1.00,
21/10/2023,Caulfield,Pros Vs Bookies,219890428,61861522,Lay,Lay 7. To Be Frank,To Be Frank,0,3.69,0.37,-1.00,0.37,
21/10/2023,Caulfield,Pros Vs Bookies,219890436,61861524,Lay,Lay 1. Tropical Squall,Tropical Squall,0,2.21,0.82,-1.00,0.82,
21/10/2023,Caulfield,Jackson Oldham,219890436,61861524,Back,Back 1. Tropical Squall,Tropical Squall,0,2.21,-1.00,-1.00,0.82,
21/10/2023,Caulfield,Bella Anderson,219890436,61861524,Back,Back 1. Tropical Squall,1. Tropical Squall,0,2.21,-1.00,-1.00,0.82,
21/10/2023,Caulfield,Lay Back with Betfair,219890445,52435949,Lay,Lay 2. Don Corleone,Don Corleone,0,5.71,0.21,-1.00,0.21,
21/10/2023,Caulfield,Lay Back with Betfair,219890445,61861534,Back,Back 7. Dark Halo,Dark Halo,0,4.19,-1.00,-1.00,0.31,
21/10/2023,Caulfield,Bella Anderson,219890445,52435949,Back,Back 2. Don Corleone,2. Don Corleone,0,5.71,-1.00,-1.00,0.21,
21/10/2023,Caulfield,Jackson Oldham,219890454,60490293,Lay,Lay 12. Lovely Lookin,Lovely Lookin,0,6.84,0.17,-1.00,0.17,
21/10/2023,Caulfield,Bella Anderson,219890454,61861540,Back,Back 8. Inhibitions,8. Inhibitions,0,3.92,-1.00,-1.00,0.34,
21/10/2023,Caulfield,Lay Back with Betfair,219890454,61861539,Back,Back 7. Azula,Azula,0,11.93,-1.00,-1.00,0.09,
21/10/2023,Caulfield,Lay Back with Betfair,219890454,61861544,Back,Back 14. Moesha,Moesha,0,15.43,-1.00,-1.00,0.07,
21/10/2023,Caulfield,Lay Back with Betfair,219890454,61861546,Back,Back 16. Matawai,Matawai,0,41.69,-1.00,-1.00,0.02,
21/10/2023,Caulfield,Pros Vs Bookies,219890463,42879444,Lay,Lay 6. Spacewalk,Spacewalk,0,3.32,0.43,-1.00,0.43,
21/10/2023,Caulfield,Jackson Oldham,219890463,61861548,Lay,Lay 1. Lofty Strike,Lofty Strike,0,5.60,0.22,-1.00,0.22,
21/10/2023,Caulfield,Lay Back with Betfair,219890463,61861548,Lay,Lay 1. Lofty Strike,Lofty Strike,0,5.60,0.22,-1.00,0.22,
21/10/2023,Caulfield,Pros Vs Bookies,219890463,61861548,Lay,Lay 1. Lofty Strike,Lofty Strike,0,5.60,0.22,-1.00,0.22,
21/10/2023,Caulfield,Lay Back with Betfair,219890463,42879444,Back,Back 6. Spacewalk,Spacewalk,0,3.32,-1.00,-1.00,0.43,
21/10/2023,Caulfield,Bella Anderson,219890463,43988510,Back,Back 4. General Beau,4. General Beau,0,3.65,-1.00,-1.00,0.38,
21/10/2023,Caulfield,Pros Vs Bookies,219890464,43988510,Lay,Lay 4. General Beau,General Beau,0,1.95,1.05,-1.00,1.05,
21/10/2023,Caulfield,Pros Vs Bookies,219890472,61861553,Lay,Lay 8. Cest Magique,Cest Magique,0,5.80,0.21,-1.00,0.21,
21/10/2023,Caulfield,Lay Back with Betfair,219890472,52900179,Back,Back 2. Skew Wiff,Skew Wiff,0,4.50,-1.00,-1.00,0.29,
21/10/2023,Caulfield,Jackson Oldham,219890472,61861553,Back,Back 8. Cest Magique,Cest Magique,0,5.80,-1.00,-1.00,0.21,
21/10/2023,Caulfield,Lay Back with Betfair,219890472,48198714,Back,Back 7. Waltz On By,Waltz On By,0,7.40,-1.00,-1.00,0.16,
21/10/2023,Caulfield,Lay Back with Betfair,219890472,61861554,Back,Back 9. Call Di,Call Di,0,9.77,-1.00,-1.00,0.11,
21/10/2023,Caulfield,Bella Anderson,219890472,61861550,Back,Back 1. Madame Pommery,1. Madame Pommery,0,13.20,-1.00,-1.00,0.08,
21/10/2023,Caulfield,Bella Anderson,219890481,24619717,Back,Back 3. Buffalo River,3. Buffalo River,1,4.59,3.59,3.59,-1.00,
21/10/2023,Caulfield,Pros Vs Bookies,219890481,24619717,Lay,Lay 3. Buffalo River,Buffalo River,1,4.59,-1.00,3.59,-1.00,
21/10/2023,Caulfield,Lay Back with Betfair,219890490,46472203,Back,Back 10. Lempicka,Lempicka,1,22.03,21.03,21.03,-1.00,
21/10/2023,Caulfield,Jackson Oldham,219890490,57047348,Back,Back 5. Viviane,Viviane,0,2.42,-1.00,-1.00,0.70,
21/10/2023,Caulfield,Bella Anderson,219890490,61861555,Back,Back 2. Bound For Home,2. Bound For Home,0,29.00,-1.00,-1.00,0.04,
21/10/2023,Caulfield,Lay Back with Betfair,219892805,61862678,Back,Back 2. Without A Fight,Without A Fight,1,9.60,8.60,8.60,-1.00,
21/10/2023,Caulfield,Dean Evans,219892805,61862679,Back,Back 6. West Wind Blows,West Wind Blows,0,6.12,-1.00,-1.00,0.20,
21/10/2023,Caulfield,Lay Back with Betfair,219892805,61862679,Back,Back 6. West Wind Blows,West Wind Blows,0,6.12,-1.00,-1.00,0.20,
21/10/2023,Caulfield,Dean Evans,219892805,40482297,Back,Back 3. Breakup,Breakup,0,11.19,-1.00,-1.00,0.10,
21/10/2023,Caulfield,Bella Anderson,219892805,40482297,Back,Back 3. Breakup,3. Breakup,0,11.19,-1.00,-1.00,0.10,
21/10/2023,Caulfield,Dean Evans,219892805,61862686,Back,Back 18. Valiant King,Valiant King,0,11.91,-1.00,-1.00,0.09,
21/10/2023,Caulfield,Lay Back with Betfair,219892805,61862686,Back,Back 18. Valiant King,Valiant King,0,11.91,-1.00,-1.00,0.09,
21/10/2023,Caulfield,Dean Evans,219892805,61862683,Back,Back 14. Okita Soushi,Okita Soushi,0,43.25,-1.00,-1.00,0.02,
21/10/2023,Eagle Farm,Shane Ciurleo,219890181,60528943,Lay,Lay 2. Encubierto,Encubierto,0,3.79,0.36,-1.00,0.36,
21/10/2023,Eagle Farm,Shane Ciurleo,219890188,52670179,Back,Back 10. Andalus,Andalus,0,2.66,-1.00,-1.00,0.60,
21/10/2023,Eagle Farm,Shane Ciurleo,219890209,52842059,Lay,Lay 5. Cranky Harry,Cranky Harry,0,4.55,0.28,-1.00,0.28,
21/10/2023,Eagle Farm,Pros Vs Bookies,219890210,52842059,Lay,Lay 5. Cranky Harry,Cranky Harry,1,1.95,-1.00,0.95,-1.00,
21/10/2023,Eagle Farm,Shane Ciurleo,219890223,61861685,Back,Back 6. Sweet Margot May,Sweet Margot May,0,3.07,-1.00,-1.00,0.48,
21/10/2023,Morphettville,Lachlan Mosley,219890084,5740220,Back,Back 5. Lights of Broadw,Lights Of Broadway,1,2.48,1.48,1.48,-1.00,
21/10/2023,Morphettville,Lachlan Mosley,219890096,25357099,Back,Back 3. Adelaide Ace,Adelaide Ace,0,5.18,-1.00,-1.00,0.24,
21/10/2023,Morphettville,Lachlan Mosley,219890114,61861142,Back,Back 5. Bit Of A Rebel,Bit Of A Rebel,0,2.87,-1.00,-1.00,0.53,
21/10/2023,Morphettville,Lachlan Mosley,219890120,45347956,Back,Back 3. Anjopin,Anjopin,1,6.64,5.64,5.64,-1.00,
21/10/2023,Morphettville,Pros Vs Bookies,219890121,237633,Lay,Lay 6. Bulls On Parade,Bulls On Parade,0,3.81,0.36,-1.00,0.36,
21/10/2023,Morphettville,Lachlan Mosley,219890126,61861147,Back,Back 10. Superior Sam,Superior Sam,1,18.27,17.27,17.27,-1.00,
21/10/2023,Morphettville,Lachlan Mosley,219890132,61861153,Back,Back 1. Miss Mucinni,Miss Mucinni,0,10.00,-1.00,-1.00,0.11,
21/10/2023,Randwick,Lay Back with Betfair,219888528,61861605,Lay,Lay 8. The Three Hundr,The Three Hundred,0,3.97,0.34,-1.00,0.34,
21/10/2023,Randwick,Lay Back with Betfair,219888535,58069274,Back,Back 5. Fays Angels,Fays Angels,0,9.02,-1.00,-1.00,0.12,
21/10/2023,Randwick,Lay Back with Betfair,219888542,49513014,Back,Back 2. Oakfield Waratah,Oakfield Waratah,0,6.45,-1.00,-1.00,0.18,
21/10/2023,Randwick,Lay Back with Betfair,219888549,49807440,Back,Back 9. Caboche,Caboche,0,32.40,-1.00,-1.00,0.03,
21/10/2023,Randwick,Lay Back with Betfair,219888563,61861630,Back,Back 13. Another Cognac,Another Cognac,0,9.20,-1.00,-1.00,0.12,
21/10/2023,Randwick,Lay Back with Betfair,219888570,6922469,Back,Back 11. Unspoken,Unspoken,1,2.16,1.16,1.16,-1.00,
21/10/2023,Randwick,Pros Vs Bookies,219888570,6922469,Lay,Lay 11. Unspoken,Unspoken,1,2.16,-1.00,1.16,-1.00,
21/10/2023,Randwick,Lay Back with Betfair,219888577,61861637,Back,Back 10. St Lawrence,St Lawrence,0,12.51,-1.00,-1.00,0.09,
21/10/2023,Randwick,Lay Back with Betfair,219888584,28393258,Back,Back 5. Hail Manhattan,Hail Manhattan,0,26.98,-1.00,-1.00,0.04,
21/10/2023,Randwick,Lay Back with Betfair,219888591,61861650,Back,Back 15. Sanstoc,Sanstoc,0,8.20,-1.00,-1.00,0.14,
22/10/2023,Hobart,Jamie Cockshutt,219968747,52900454,Back,Back 4. Nyack,4. Nyack,1,1.38,0.38,0.38,-1.00,
22/10/2023,Hobart,Jamie Cockshutt,219968751,61869561,Back,Back 2. Smooth Machete,2. Smooth Machete,1,1.36,0.36,0.36,-1.00,
22/10/2023,Hobart,Jamie Cockshutt,219968753,48031094,Back,Back 6. Reely Nauti,6. Reely Nauti,1,1.70,0.70,0.70,-1.00,
22/10/2023,Hobart,Jamie Cockshutt,219968755,61869568,Back,Back 6. Swiatek Leis,6. Swiatek Leis,0,2.60,-1.00,-1.00,0.63,
22/10/2023,Hobart,Jamie Cockshutt,219968757,50560254,Back,Back 2. Vincenzo,2. Vincenzo,0,2.19,-1.00,-1.00,0.84,
22/10/2023,Hobart,Jamie Cockshutt,219968759,22970753,Back,Back 8. Huli Nien,8. Huli Nien,0,2.97,-1.00,-1.00,0.51,
22/10/2023,Hobart,Jamie Cockshutt,219968761,37049152,Back,Back 5. Looby Lombo,5. Looby Lombo,0,2.50,-1.00,-1.00,0.67,
