Date,Track,Race Name,Race,Market,Selection,Number,Horse,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292689,14,Queen Alina,9.42,0.0,10.31,0.0,2.74,0.009163902051272557
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292690,15,Tonis Spirit,189.68,0.0,135.95,0.0,17.15,-0.00208360834274764
2024-01-01,Ascot,R8 2400m Grp2,8,223004309,64292691,16,Truly Inspired,183.9,0.0,110.0,0.0,22.0,-0.0036531711898759207
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,28281193,3,Brooklyn Pier,15.88,0.0,16.19,0.0,4.36,0.0012057696466550444
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,28541457,4,Hint Of Mint,18.49,0.0,14.5,0.0,3.25,-0.014882228977452859
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,41375261,8,Cobbanco,27.96,0.0,33.42,0.0,6.6,0.005843176838931222
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,43015777,1,Corn Cob,63.76,0.0,65.0,0.0,9.8,0.0002991989190232608
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,46837430,2,Playthatfunkymusic,9.68,0.0,9.2,0.0,2.74,-0.005389867049946109
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,51179338,10,Rear Admiral,7.53,0.0,8.4,1.0,2.5,0.013754505786378296
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,624596,6,Universal Flair,19.55,0.0,39.49,0.0,10.5,0.025828028592171672
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,64343989,7,Hanchi,2.58,0.0,2.88,1.0,1.39,0.04037467700258396
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,64343990,9,Deep Speed,41.55,0.0,69.65,0.0,13.5,0.009709886893639594
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,64343991,11,Via Monte,26.27,0.0,24.84,0.0,6.82,-0.0021914137039672835
2024-01-01,Ascot,R9 1200m Hcap,9,223004316,64343992,12,Stormchaser,10.59,1.0,5.05,1.0,2.09,-0.1035910956534747
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,42351127,10,Summer Light,169.21,0.0,220.0,1.0,26.0,0.001364361659261488
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,42431656,2,New York Winter,30.36,0.0,54.89,0.0,7.96,0.014719821725136705
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,46701722,8,Magic Opal,9.61,0.0,21.0,0.0,3.34,0.05643922501362669
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,50758919,1,Gentacheeva,142.88,0.0,249.92,0.0,28.0,0.002997599769440219
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,53913904,7,Fields Of Jenni,1.49,1.0,1.21,1.0,1.1,-0.1553053413944201
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,56685005,9,Our Swan Song,6.55,0.0,8.8,0.0,1.9,0.03903539208882721
2024-01-01,Burrumbeet,R1 1800m Mdn,1,223034918,64343428,3,Seeking Clarity,37.88,0.0,158.59,0.0,17.52,0.02009358741065087
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,10804895,7,Rub Of The Green,16.56,0.0,15.91,0.0,2.99,-0.0024670777956925516
2024-01-01,Burrumbeet,R2 1000m Mdn,2,223034950,23719882,1,Handsome Hostage,171.62,0.0,309.7,0.0,25.03,0.002597895486408705
