EVENT_DATE,EVENT_ID,MATCH,MARKET_TYPE,MARKET_NAME,MARKET_ID
6/08/2022,31531630,Fulham v Liverpool,,Correct Score,200234644
6/08/2022,31531630,Fulham v Liverpool,,Half Time Score,200234652
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 4.5 Goals,201698823
6/08/2022,31531630,Fulham v Liverpool,,Match Odds,200234638
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 0.5 Goals,201698816
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 5.5 Goals,201698820
6/08/2022,31531630,Fulham v Liverpool,,Half Time Score,200234646
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 1.5 Goals,200234640
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 2.5 Goals,200234641
6/08/2022,31531630,Fulham v Liverpool,,Both teams to Score?,201698813
6/08/2022,31531630,Fulham v Liverpool,,Correct Score,201698821
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 3.5 Goals,201698826
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 4.5 Goals,200234639
6/08/2022,31531630,Fulham v Liverpool,,Half Time Score,201698824
6/08/2022,31531630,Fulham v Liverpool,,Half Time,201698819
6/08/2022,31531630,Fulham v Liverpool,,First Half Goals 2.5,201698812
6/08/2022,31531630,Fulham v Liverpool,,Match Odds,201698814
6/08/2022,31531630,Fulham v Liverpool,,First Half Goals 0.5,201698815
6/08/2022,31531630,Fulham v Liverpool,,Match Odds and Both Teams to Score,200234647
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 1.5 Goals,201698825
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 5.5 Goals,200234642
6/08/2022,31531630,Fulham v Liverpool,,Fulham +1,200234717
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 3.5 Goals,200234645
6/08/2022,31531630,Fulham v Liverpool,,Liverpool +1,200234702
6/08/2022,31531630,Fulham v Liverpool,,Correct Score,200234724
6/08/2022,31531630,Fulham v Liverpool,,Liverpool Over/Under 1.5 Goals,200234765
6/08/2022,31531630,Fulham v Liverpool,,Fulham +3,200234704
6/08/2022,31531630,Fulham v Liverpool,,Liverpool Over/Under 0.5 Goals,200234768
6/08/2022,31531630,Fulham v Liverpool,,Fulham Win to Nil,200234707
6/08/2022,31531630,Fulham v Liverpool,,Half Time,200234722
6/08/2022,31531630,Fulham v Liverpool,,Fulham Over/Under 1.5 Goals,200234764
6/08/2022,31531630,Fulham v Liverpool,,Fulham Over/Under 2.5 Goals,200234762
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 5.5 Goals,200234723
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 3.5 Goals,200234665
6/08/2022,31531630,Fulham v Liverpool,,Double Chance,200234716
6/08/2022,31531630,Fulham v Liverpool,,Match Odds,200234714
6/08/2022,31531630,Fulham v Liverpool,,Liverpool +2,200234705
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 2.5 Goals,200234650
6/08/2022,31531630,Fulham v Liverpool,,Half Time/Full Time,200234653
6/08/2022,31531630,Fulham v Liverpool,,Both teams to Score?,200234712
6/08/2022,31531630,Fulham v Liverpool,,Fulham Over/Under 0.5 Goals,200234767
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 4.5 Goals,200234651
6/08/2022,31531630,Fulham v Liverpool,,Fulham +2,200234701
6/08/2022,31531630,Fulham v Liverpool,,Liverpool Win to Nil,200234708
6/08/2022,31531630,Fulham v Liverpool,,First Half Goals 2.5,200234711
6/08/2022,31531630,Fulham v Liverpool,,First Half Goals 0.5,200234718
6/08/2022,31531630,Fulham v Liverpool,,Match Odds and Over/Under 2.5 goals,200234726
6/08/2022,31531630,Fulham v Liverpool,,Draw No Bet,200234700
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 1.5 Goals,200234654
6/08/2022,31531630,Fulham v Liverpool,,Liverpool +3,200234706
6/08/2022,31531630,Fulham v Liverpool,,Liverpool Over/Under 2.5 Goals,200234766
6/08/2022,31531630,Fulham v Liverpool,,First Half Goals 1.5,200234720
6/08/2022,31531630,Fulham v Liverpool,,Over/Under 0.5 Goals,200234719
6/08/2022,31531630,Fulham v Liverpool,,Match Odds and Over/Under 3.5 Goals,200234763
6/08/2022,31531631,Leeds v Wolves,,Correct Score,201698911
6/08/2022,31531631,Leeds v Wolves,,First Half Goals 2.5,201698902
6/08/2022,31531631,Leeds v Wolves,,Over/Under 1.5 Goals,201698915
6/08/2022,31531631,Leeds v Wolves,,Match Odds,201698904
6/08/2022,31531631,Leeds v Wolves,,Over/Under 4.5 Goals,201698913
6/08/2022,31531631,Leeds v Wolves,,Half Time,201698909
6/08/2022,31531631,Leeds v Wolves,,First Half Goals 1.5,201698907
6/08/2022,31531631,Leeds v Wolves,,Over/Under 2.5 Goals,201698912
6/08/2022,31531631,Leeds v Wolves,,Half Time/Full Time,201698919
6/08/2022,31531631,Leeds v Wolves,,Over/Under 3.5 Goals,201698916
6/08/2022,31531631,Leeds v Wolves,,Both teams to Score?,201698903
6/08/2022,31531631,Leeds v Wolves,,First Half Goals 0.5,201698905
6/08/2022,31531631,Leeds v Wolves,,Over/Under 5.5 Goals,201698910
6/08/2022,31531631,Leeds v Wolves,,Half Time Score,201698914
6/08/2022,31531631,Leeds v Wolves,,Over/Under 0.5 Goals,200235211
6/08/2022,31531631,Leeds v Wolves,,Over/Under 0.5 Goals,201698906
6/08/2022,31531631,Leeds v Wolves,,Leeds Over/Under 1.5 Goals,200235339
6/08/2022,31531631,Leeds v Wolves,,Half Time,200235297
6/08/2022,31531631,Leeds v Wolves,,Wolves +1,200235277
6/08/2022,31531631,Leeds v Wolves,,Over/Under 2.5 Goals,200235225
6/08/2022,31531631,Leeds v Wolves,,Over/Under 4.5 Goals,200235226
6/08/2022,31531631,Leeds v Wolves,,Over/Under 5.5 Goals,200235217
