Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Macklin Freke,Macklin Freke,AUS,24-343,90,6,2,5,83.3,Western United,Brisbane Roar,15/12/2023,Brisbane Roar
Tom Heward-Belle,Tom Heward-Belle,AUS,26-279,90,2,1,2,100,Western United,Brisbane Roar,15/12/2023,Western United
Adam Pavlešić,Adam Pavlesic,AUS,21-139,90,6,3,3,50,Melbourne Victory,Sydney FC,16/12/2023,Sydney FC
Paul Izzo,Paul Izzo,AUS,28-344,90,3,0,3,100,Melbourne Victory,Sydney FC,16/12/2023,Melbourne Victory
Cameron Cook,Cameron Cook,AUS,22-122,90,2,2,1,50,Newcastle Jets,Perth Glory,16/12/2023,Perth Glory
Ryan Scott,Ryan Scott,AUS,27-363,90,2,2,0,0,Newcastle Jets,Perth Glory,16/12/2023,Newcastle Jets
Danny Vukovic,Danny Vukovic,AUS,38-265,90,6,3,3,50,Melbourne City,Central Coast Mariners,17/12/2023,Central Coast Mariners
Jamie Young,Jamie Young,ENG,38-114,90,7,3,4,57.1,Melbourne City,Central Coast Mariners,17/12/2023,Melbourne City
Alex Paulsen,Alex Paulsen,NZL,21-167,90,6,0,7,100,Macarthur FC,Wellington Phoenix,18/12/2023,Wellington Phoenix
Filip Kurto,Filip Kurto,POL,32-187,90,7,3,4,57.1,Macarthur FC,Wellington Phoenix,18/12/2023,Macarthur FC
Danny Vukovic,Danny Vukovic,AUS,38-269,90,5,0,5,100,Brisbane Roar,Central Coast Mariners,21/12/2023,Central Coast Mariners
Macklin Freke,Macklin Freke,AUS,24-349,90,4,3,1,25,Brisbane Roar,Central Coast Mariners,21/12/2023,Brisbane Roar
Ryan Scott,Ryan Scott,AUS,28-004,90,9,3,7,77.8,Adelaide United,Newcastle Jets,22/12/2023,Newcastle Jets
Joe Gauci,Joe Gauci,AUS,23-171,90,5,1,4,80,Adelaide United,Newcastle Jets,22/12/2023,Adelaide United
Paul Izzo,Paul Izzo,AUS,28-351,90,2,0,2,100,Melbourne City,Melbourne Victory,23/12/2023,Melbourne Victory
Jamie Young,Jamie Young,ENG,38-120,90,4,0,4,100,Melbourne City,Melbourne Victory,23/12/2023,Melbourne City
Filip Kurto,Filip Kurto,POL,32-192,90,7,3,4,57.1,Perth Glory,Macarthur FC,23/12/2023,Macarthur FC
Cameron Cook,Cameron Cook,AUS,22-129,90,4,2,2,50,Perth Glory,Macarthur FC,23/12/2023,Perth Glory
Tom Heward-Belle,Tom Heward-Belle,AUS,26-287,90,10,4,6,60,Sydney FC,Western United,23/12/2023,Western United
Andrew Redmayne,Andrew Redmayne,AUS,34-344,90,6,2,4,66.7,Sydney FC,Western United,23/12/2023,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,31-228,90,3,2,1,33.3,Wellington Phoenix,Western Sydney Wanderers,23/12/2023,Western Sydney Wanderers
Alex Paulsen,Alex Paulsen,NZL,21-172,90,3,0,3,100,Wellington Phoenix,Western Sydney Wanderers,23/12/2023,Wellington Phoenix
Matt Acton,Matt Acton,AUS,31-208,90,14,8,6,42.9,Melbourne City,Brisbane Roar,28/12/2023,Brisbane Roar
Jamie Young,Jamie Young,ENG,38-125,90,6,1,5,83.3,Melbourne City,Brisbane Roar,28/12/2023,Melbourne City
Alex Paulsen,Alex Paulsen,NZL,21-178,90,12,3,9,75,Sydney FC,Wellington Phoenix,29/12/2023,Wellington Phoenix
Andrew Redmayne,Andrew Redmayne,AUS,34-350,90,4,1,3,75,Sydney FC,Wellington Phoenix,29/12/2023,Sydney FC
Joe Gauci,Joe Gauci,AUS,23-179,90,8,2,6,75,Melbourne Victory,Adelaide United,30/12/2023,Adelaide United
Paul Izzo,Paul Izzo,AUS,28-358,90,2,0,2,100,Melbourne Victory,Adelaide United,30/12/2023,Melbourne Victory
Tom Heward-Belle,Tom Heward-Belle,AUS,26-294,90,9,2,7,77.8,Newcastle Jets,Western United,30/12/2023,Western United
Ryan Scott,Ryan Scott,AUS,28-012,90,4,0,4,100,Newcastle Jets,Western United,30/12/2023,Newcastle Jets
Cameron Cook,Cameron Cook,AUS,22-137,90,8,4,6,75,Central Coast Mariners,Perth Glory,31/12/2023,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,38-279,90,4,2,2,50,Central Coast Mariners,Perth Glory,31/12/2023,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,32-201,90,8,3,5,62.5,Western Sydney Wanderers,Macarthur FC,1/01/2024,Macarthur FC
Jack Gibson,Jack Gibson,AUS,20-358,90,2,1,1,50,Western Sydney Wanderers,Macarthur FC,1/01/2024,Western Sydney Wanderers
Alex Paulsen,Alex Paulsen,NZL,21-184,90,7,2,5,71.4,Adelaide United,Wellington Phoenix,4/01/2024,Wellington Phoenix
James Delianov,James Delianov,AUS,24-076,90,4,2,2,50,Adelaide United,Wellington Phoenix,4/01/2024,Adelaide United
Ryan Scott,Ryan Scott,AUS,28-018,90,6,1,6,100,Macarthur FC,Newcastle Jets,5/01/2024,Newcastle Jets
Filip Kurto,Filip Kurto,POL,32-205,90,7,1,6,85.7,Macarthur FC,Newcastle Jets,5/01/2024,Macarthur FC
Andrew Redmayne,Andrew Redmayne,AUS,34-358,90,3,1,2,66.7,Brisbane Roar,Sydney FC,6/01/2024,Sydney FC
Macklin Freke,Macklin Freke,AUS,25-000,90,5,2,3,60,Brisbane Roar,Sydney FC,6/01/2024,Brisbane Roar
Paul Izzo,Paul Izzo,AUS,29-000,90,4,2,2,50,Perth Glory,Melbourne Victory,6/01/2024,Melbourne Victory
Cameron Cook,Cameron Cook,AUS,22-143,90,9,3,6,66.7,Perth Glory,Melbourne Victory,6/01/2024,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,38-285,90,5,0,5,100,Western Sydney Wanderers,Central Coast Mariners,6/01/2024,Central Coast Mariners
Daniel Margush,Daniel Margush,AUS,26-039,90,6,1,5,83.3,Western Sydney Wanderers,Central Coast Mariners,6/01/2024,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,38-135,90,9,1,8,88.9,Western United,Melbourne City,7/01/2024,Melbourne City
Tom Heward-Belle,Tom Heward-Belle,AUS,26-302,90,6,2,4,66.7,Western United,Melbourne City,7/01/2024,Western United
Filip Kurto,Filip Kurto,POL,32-208,90,4,1,3,75,Adelaide United,Macarthur FC,8/01/2024,Macarthur FC
James Delianov,James Delianov,AUS,24-080,90,3,1,2,66.7,Adelaide United,Macarthur FC,8/01/2024,Adelaide United
Tom Heward-Belle,Tom Heward-Belle,AUS,26-307,90,4,3,1,25,Macarthur FC,Western United,12/01/2024,Western United
Filip Kurto,Filip Kurto,POL,32-212,90,8,3,5,62.5,Macarthur FC,Western United,12/01/2024,Macarthur FC
Daniel Margush,Daniel Margush,AUS,26-045,90,1,0,1,100,Melbourne City,Western Sydney Wanderers,12/01/2024,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,38-140,90,9,1,8,88.9,Melbourne City,Western Sydney Wanderers,12/01/2024,Melbourne City
Andrew Redmayne,Andrew Redmayne,AUS,35-000,90,6,4,2,33.3,Adelaide United,Sydney FC,13/01/2024,Sydney FC
James Delianov,James Delianov,AUS,24-085,90,8,3,5,62.5,Adelaide United,Sydney FC,13/01/2024,Adelaide United
Paul Izzo,Paul Izzo,AUS,29-007,90,3,1,2,66.7,Central Coast Mariners,Melbourne Victory,13/01/2024,Melbourne Victory
Danny Vukovic,Danny Vukovic,AUS,38-292,90,2,1,2,100,Central Coast Mariners,Melbourne Victory,13/01/2024,Central Coast Mariners
Ryan Scott,Ryan Scott,AUS,28-027,90,3,3,1,33.3,Brisbane Roar,Newcastle Jets,14/01/2024,Newcastle Jets
Macklin Freke,Macklin Freke,AUS,25-008,90,6,2,4,66.7,Brisbane Roar,Newcastle Jets,14/01/2024,Brisbane Roar
Alex Paulsen,Alex Paulsen,NZL,21-194,90,6,3,3,50,Perth Glory,Wellington Phoenix,14/01/2024,Wellington Phoenix
Cameron Cook,Cameron Cook,AUS,22-151,90,6,4,2,33.3,Perth Glory,Wellington Phoenix,14/01/2024,Perth Glory
Filip Kurto,Filip Kurto,POL,32-218,90,7,1,6,85.7,Brisbane Roar,Macarthur FC,18/01/2024,Macarthur FC
Macklin Freke,Macklin Freke,AUS,25-012,90,8,3,5,62.5,Brisbane Roar,Macarthur FC,18/01/2024,Brisbane Roar
Ryan Scott,Ryan Scott,AUS,28-032,90,8,4,4,50,Sydney FC,Newcastle Jets,19/01/2024,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,35-006,90,1,0,1,100,Sydney FC,Newcastle Jets,19/01/2024,Sydney FC
Paul Izzo,Paul Izzo,AUS,29-013,90,2,1,2,100,Wellington Phoenix,Melbourne Victory,19/01/2024,Melbourne Victory
Alex Paulsen,Alex Paulsen,NZL,21-199,90,6,1,5,83.3,Wellington Phoenix,Melbourne Victory,19/01/2024,Wellington Phoenix
Oliver Sail,Oliver Sail,NZL,28-007,90,7,1,6,85.7,Western Sydney Wanderers,Perth Glory,20/01/2024,Perth Glory
Daniel Margush,Daniel Margush,AUS,26-053,90,8,2,6,75,Western Sydney Wanderers,Perth Glory,20/01/2024,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,38-149,90,5,2,3,60,Central Coast Mariners,Melbourne City,21/01/2024,Melbourne City
Danny Vukovic,Danny Vukovic,AUS,38-300,90,6,1,5,83.3,Central Coast Mariners,Melbourne City,21/01/2024,Central Coast Mariners
Macklin Freke,Macklin Freke,AUS,25-017,90,3,3,1,0,Newcastle Jets,Brisbane Roar,23/01/2024,Brisbane Roar
Ryan Scott,Ryan Scott,AUS,28-036,90,6,1,5,83.3,Newcastle Jets,Brisbane Roar,23/01/2024,Newcastle Jets
James Delianov,James Delianov,AUS,24-097,90,4,1,3,75,Melbourne City,Adelaide United,25/01/2024,Adelaide United
Jamie Young,Jamie Young,ENG,38-153,90,6,0,6,100,Melbourne City,Adelaide United,25/01/2024,Melbourne City
Andrew Redmayne,Andrew Redmayne,AUS,35-013,90,4,1,3,75,Melbourne Victory,Sydney FC,26/01/2024,Sydney FC
Paul Izzo,Paul Izzo,AUS,29-020,90,4,1,3,75,Melbourne Victory,Sydney FC,26/01/2024,Melbourne Victory
Macklin Freke,Macklin Freke,AUS,25-021,90,3,2,1,33.3,Central Coast Mariners,Brisbane Roar,27/01/2024,Brisbane Roar
Danny Vukovic,Danny Vukovic,AUS,38-306,90,3,0,3,100,Central Coast Mariners,Brisbane Roar,27/01/2024,Central Coast Mariners
Alex Paulsen,Alex Paulsen,NZL,21-207,90,4,1,3,75,Newcastle Jets,Wellington Phoenix,27/01/2024,Wellington Phoenix
Ryan Scott,Ryan Scott,AUS,28-040,90,6,2,5,83.3,Newcastle Jets,Wellington Phoenix,27/01/2024,Newcastle Jets
Daniel Margush,Daniel Margush,AUS,26-060,90,5,0,4,100,Western United,Western Sydney Wanderers,27/01/2024,Western Sydney Wanderers
Tom Heward-Belle,Tom Heward-Belle,AUS,26-322,90,1,1,0,0,Western United,Western Sydney Wanderers,27/01/2024,Western United
Oliver Sail,Oliver Sail,NZL,28-015,90,2,2,1,50,Macarthur FC,Perth Glory,28/01/2024,Perth Glory
Filip Kurto,Filip Kurto,POL,32-228,90,5,2,4,80,Macarthur FC,Perth Glory,28/01/2024,Macarthur FC
Alex Paulsen,Alex Paulsen,NZL,21-213,90,4,1,3,75,Brisbane Roar,Wellington Phoenix,2/02/2024,Wellington Phoenix
Macklin Freke,Macklin Freke,AUS,25-027,90,6,1,5,83.3,Brisbane Roar,Wellington Phoenix,2/02/2024,Brisbane Roar
Jamie Young,Jamie Young,ENG,38-161,90,7,4,4,57.1,Perth Glory,Melbourne City,2/02/2024,Melbourne City
Oliver Sail,Oliver Sail,NZL,28-020,90,8,2,6,75,Perth Glory,Melbourne City,2/02/2024,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,38-313,90,3,0,3,100,Adelaide United,Central Coast Mariners,3/02/2024,Central Coast Mariners
James Delianov,James Delianov,AUS,24-106,90,8,4,5,62.5,Adelaide United,Central Coast Mariners,3/02/2024,Adelaide United
Paul Izzo,Paul Izzo,AUS,29-028,90,1,1,1,0,Newcastle Jets,Melbourne Victory,3/02/2024,Melbourne Victory
Ryan Scott,Ryan Scott,AUS,28-047,90,9,1,8,88.9,Newcastle Jets,Melbourne Victory,3/02/2024,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,35-021,90,3,2,1,33.3,Western United,Sydney FC,3/02/2024,Sydney FC
Tom Heward-Belle,Tom Heward-Belle,AUS,26-329,90,5,2,4,80,Western United,Sydney FC,3/02/2024,Western United
Daniel Margush,Daniel Margush,AUS,26-068,45,4,3,2,50,Macarthur FC,Western Sydney Wanderers,4/02/2024,Western Sydney Wanderers
Lawrence Thomas,Lawrence Thomas,AUS,31-271,45,2,1,1,50,Macarthur FC,Western Sydney Wanderers,4/02/2024,Western Sydney Wanderers
Filip Kurto,Filip Kurto,POL,32-235,90,9,3,6,66.7,Macarthur FC,Western Sydney Wanderers,4/02/2024,Macarthur FC
Danny Vukovic,Danny Vukovic,AUS,38-316,90,3,0,3,100,Wellington Phoenix,Central Coast Mariners,6/02/2024,Central Coast Mariners
Alex Paulsen,Alex Paulsen,NZL,21-217,90,3,0,3,100,Wellington Phoenix,Central Coast Mariners,6/02/2024,Wellington Phoenix
Oliver Sail,Oliver Sail,NZL,28-027,90,6,3,5,66.7,Adelaide United,Perth Glory,9/02/2024,Perth Glory
James Delianov,James Delianov,AUS,24-112,90,8,3,5,62.5,Adelaide United,Perth Glory,9/02/2024,Adelaide United
Jamie Young,Jamie Young,ENG,38-169,90,9,5,4,44.4,Brisbane Roar,Melbourne City,10/02/2024,Melbourne City
Macklin Freke,Macklin Freke,AUS,25-035,90,9,1,8,88.9,Brisbane Roar,Melbourne City,10/02/2024,Brisbane Roar
Andrew Redmayne,Andrew Redmayne,AUS,35-028,90,5,1,4,80,Central Coast Mariners,Sydney FC,10/02/2024,Sydney FC
Danny Vukovic,Danny Vukovic,AUS,38-320,90,5,3,2,40,Central Coast Mariners,Sydney FC,10/02/2024,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,32-241,90,7,0,8,100,Melbourne Victory,Macarthur FC,10/02/2024,Macarthur FC
Paul Izzo,Paul Izzo,AUS,29-035,90,1,1,0,0,Melbourne Victory,Macarthur FC,10/02/2024,Melbourne Victory
Tom Heward-Belle,Tom Heward-Belle,AUS,26-336,90,5,2,3,60,Wellington Phoenix,Western United,10/02/2024,Western United
Alex Paulsen,Alex Paulsen,NZL,21-221,90,2,0,2,100,Wellington Phoenix,Western United,10/02/2024,Wellington Phoenix
Ryan Scott,Ryan Scott,AUS,28-055,90,9,3,6,66.7,Western Sydney Wanderers,Newcastle Jets,11/02/2024,Newcastle Jets
Taiga Harper,Taiga Harper,AUS,18-256,90,6,3,4,66.7,Western Sydney Wanderers,Newcastle Jets,11/02/2024,Western Sydney Wanderers
Ryan Scott,Ryan Scott,AUS,28-060,90,5,2,4,80,Western United,Newcastle Jets,16/02/2024,Newcastle Jets
Tom Heward-Belle,Tom Heward-Belle,AUS,26-342,90,6,0,6,100,Western United,Newcastle Jets,16/02/2024,Western United
Paul Izzo,Paul Izzo,AUS,29-042,90,3,0,3,100,Melbourne City,Melbourne Victory,17/02/2024,Melbourne Victory
Jamie Young,Jamie Young,ENG,38-176,90,5,0,5,100,Melbourne City,Melbourne Victory,17/02/2024,Melbourne City
Macklin Freke,Macklin Freke,AUS,25-042,90,8,3,5,62.5,Perth Glory,Brisbane Roar,17/02/2024,Brisbane Roar
Oliver Sail,Oliver Sail,NZL,28-035,90,3,2,1,33.3,Perth Glory,Brisbane Roar,17/02/2024,Perth Glory
James Delianov,James Delianov,AUS,24-120,90,4,2,3,75,Sydney FC,Adelaide United,17/02/2024,Adelaide United
Andrew Redmayne,Andrew Redmayne,AUS,35-035,90,3,1,2,66.7,Sydney FC,Adelaide United,17/02/2024,Sydney FC
Daniel Margush,Daniel Margush,AUS,26-082,90,2,1,2,100,Central Coast Mariners,Western Sydney Wanderers,18/02/2024,Western Sydney Wanderers
Danny Vukovic,Danny Vukovic,AUS,38-328,90,1,0,1,100,Central Coast Mariners,Western Sydney Wanderers,18/02/2024,Central Coast Mariners
Alex Paulsen,Alex Paulsen,NZL,21-229,90,4,1,3,75,Macarthur FC,Wellington Phoenix,18/02/2024,Wellington Phoenix
Filip Kurto,Filip Kurto,POL,32-249,90,6,2,5,83.3,Macarthur FC,Wellington Phoenix,18/02/2024,Macarthur FC
Tom Heward-Belle,Tom Heward-Belle,AUS,26-346,90,6,2,4,66.7,Melbourne Victory,Western United,20/02/2024,Western United
Paul Izzo,Paul Izzo,AUS,29-045,90,3,1,2,66.7,Melbourne Victory,Western United,20/02/2024,Melbourne Victory
Matthew Sutton,Matthew Sutton,AUS,23-353,90,7,2,5,71.4,Brisbane Roar,Western United,23/02/2024,Western United
Macklin Freke,Macklin Freke,AUS,25-048,90,4,2,2,50,Brisbane Roar,Western United,23/02/2024,Brisbane Roar
Daniel Margush,Daniel Margush,AUS,26-088,90,4,1,3,75,Adelaide United,Western Sydney Wanderers,24/02/2024,Western Sydney Wanderers
James Delianov,James Delianov,AUS,24-127,90,4,2,2,50,Adelaide United,Western Sydney Wanderers,24/02/2024,Adelaide United
Alex Paulsen,Alex Paulsen,NZL,21-235,90,2,0,2,100,Perth Glory,Wellington Phoenix,24/02/2024,Wellington Phoenix
Oliver Sail,Oliver Sail,NZL,28-042,90,2,0,2,100,Perth Glory,Wellington Phoenix,24/02/2024,Perth Glory
Jamie Young,Jamie Young,ENG,38-183,90,6,1,5,83.3,Sydney FC,Melbourne City,24/02/2024,Melbourne City
Andrew Redmayne,Andrew Redmayne,AUS,35-042,90,3,1,2,66.7,Sydney FC,Melbourne City,24/02/2024,Sydney FC
Danny Vukovic,Danny Vukovic,AUS,38-335,90,1,0,1,100,Melbourne Victory,Central Coast Mariners,25/02/2024,Central Coast Mariners
Paul Izzo,Paul Izzo,AUS,29-050,90,2,1,1,50,Melbourne Victory,Central Coast Mariners,25/02/2024,Melbourne Victory
Filip Kurto,Filip Kurto,POL,32-256,90,4,2,3,75,Newcastle Jets,Macarthur FC,25/02/2024,Macarthur FC
Ryan Scott,Ryan Scott,AUS,28-069,90,5,2,3,60,Newcastle Jets,Macarthur FC,25/02/2024,Newcastle Jets
Jamie Young,Jamie Young,ENG,38-189,90,5,2,3,60,Macarthur FC,Melbourne City,1/03/2024,Melbourne City
Filip Kurto,Filip Kurto,POL,32-261,90,5,0,5,100,Macarthur FC,Melbourne City,1/03/2024,Macarthur FC
Danny Vukovic,Danny Vukovic,AUS,38-341,90,1,0,1,100,Newcastle Jets,Central Coast Mariners,2/03/2024,Central Coast Mariners
Ryan Scott,Ryan Scott,AUS,28-075,90,4,1,3,75,Newcastle Jets,Central Coast Mariners,2/03/2024,Newcastle Jets
Andrew Redmayne,Andrew Redmayne,AUS,35-049,90,6,1,5,83.3,Western Sydney Wanderers,Sydney FC,2/03/2024,Sydney FC
Daniel Margush,Daniel Margush,AUS,26-095,90,7,4,4,57.1,Western Sydney Wanderers,Sydney FC,2/03/2024,Western Sydney Wanderers
Oliver Sail,Oliver Sail,NZL,28-049,90,7,1,6,85.7,Western United,Perth Glory,2/03/2024,Perth Glory
Matthew Sutton,Matthew Sutton,AUS,23-361,90,0,0,0,,Western United,Perth Glory,2/03/2024,Western United
Paul Izzo,Paul Izzo,AUS,29-057,90,8,3,5,62.5,Brisbane Roar,Melbourne Victory,3/03/2024,Melbourne Victory
Macklin Freke,Macklin Freke,AUS,25-057,90,5,2,3,60,Brisbane Roar,Melbourne Victory,3/03/2024,Brisbane Roar
James Delianov,James Delianov,AUS,24-135,90,5,3,2,40,Wellington Phoenix,Adelaide United,3/03/2024,Adelaide United
Alex Paulsen,Alex Paulsen,NZL,21-243,90,5,2,4,80,Wellington Phoenix,Adelaide United,3/03/2024,Wellington Phoenix
Matthew Sutton,Matthew Sutton,AUS,24-001,90,2,1,1,50,Western Sydney Wanderers,Western United,8/03/2024,Western United
Daniel Margush,Daniel Margush,AUS,26-101,90,6,3,3,50,Western Sydney Wanderers,Western United,8/03/2024,Western Sydney Wanderers
Paul Izzo,Paul Izzo,AUS,29-063,90,5,1,4,80,Adelaide United,Melbourne Victory,9/03/2024,Melbourne Victory
James Delianov,James Delianov,AUS,24-141,90,9,2,8,88.9,Adelaide United,Melbourne Victory,9/03/2024,Adelaide United
Alex Paulsen,Alex Paulsen,NZL,21-249,90,7,1,6,85.7,Melbourne City,Wellington Phoenix,9/03/2024,Wellington Phoenix
Jamie Young,Jamie Young,ENG,38-197,90,2,0,2,100,Melbourne City,Wellington Phoenix,9/03/2024,Melbourne City
Ryan Scott,Ryan Scott,AUS,28-082,90,5,2,3,60,Perth Glory,Newcastle Jets,9/03/2024,Newcastle Jets
Oliver Sail,Oliver Sail,NZL,28-056,90,10,2,8,80,Perth Glory,Newcastle Jets,9/03/2024,Perth Glory
Danny Vukovic,Danny Vukovic,AUS,38-349,90,3,0,3,100,Macarthur FC,Central Coast Mariners,10/03/2024,Central Coast Mariners
Filip Kurto,Filip Kurto,POL,32-270,90,7,3,5,57.1,Macarthur FC,Central Coast Mariners,10/03/2024,Macarthur FC
Macklin Freke,Macklin Freke,AUS,25-064,90,2,1,1,50,Sydney FC,Brisbane Roar,10/03/2024,Brisbane Roar
Andrew Redmayne,Andrew Redmayne,AUS,35-057,90,5,1,4,80,Sydney FC,Brisbane Roar,10/03/2024,Sydney FC
Lawrence Thomas,Lawrence Thomas,AUS,31-308,90,12,7,5,41.7,Melbourne City,Western Sydney Wanderers,12/03/2024,Western Sydney Wanderers
Jamie Young,Jamie Young,ENG,38-200,90,5,0,5,100,Melbourne City,Western Sydney Wanderers,12/03/2024,Melbourne City
Paul Izzo,Paul Izzo,AUS,29-068,90,3,2,2,33.3,Western United,Melbourne Victory,14/03/2024,Melbourne Victory
Matthew Sutton,Matthew Sutton,AUS,24-007,90,2,2,0,0,Western United,Melbourne Victory,14/03/2024,Western United
James Delianov,James Delianov,AUS,24-147,90,3,0,3,100,Newcastle Jets,Adelaide United,15/03/2024,Adelaide United
Ryan Scott,Ryan Scott,AUS,28-088,90,7,1,6,85.7,Newcastle Jets,Adelaide United,15/03/2024,Newcastle Jets
Filip Kurto,Filip Kurto,POL,32-276,90,6,1,5,83.3,Brisbane Roar,Macarthur FC,16/03/2024,Macarthur FC
Macklin Freke,Macklin Freke,AUS,25-070,90,3,2,1,33.3,Brisbane Roar,Macarthur FC,16/03/2024,Brisbane Roar
Lawrence Thomas,Lawrence Thomas,AUS,31-312,90,6,1,5,83.3,Perth Glory,Western Sydney Wanderers,16/03/2024,Western Sydney Wanderers
Oliver Sail,Oliver Sail,NZL,28-063,90,8,2,6,75,Perth Glory,Western Sydney Wanderers,16/03/2024,Perth Glory
Andrew Redmayne,Andrew Redmayne,AUS,35-063,90,6,2,4,66.7,Wellington Phoenix,Sydney FC,16/03/2024,Sydney FC
Alex Paulsen,Alex Paulsen,NZL,21-256,90,7,1,6,85.7,Wellington Phoenix,Sydney FC,16/03/2024,Wellington Phoenix
Matthew Sutton,Matthew Sutton,AUS,24-022,90,6,4,3,50,Adelaide United,Western United,29/03/2024,Western United
James Delianov,James Delianov,AUS,24-161,90,7,1,6,85.7,Adelaide United,Western United,29/03/2024,Adelaide United
Ryan Scott,Ryan Scott,AUS,28-103,90,9,0,9,100,Melbourne City,Newcastle Jets,30/03/2024,Newcastle Jets
Jamie Young,Jamie Young,ENG,38-218,90,3,0,3,100,Melbourne City,Newcastle Jets,30/03/2024,Melbourne City
Danny Vukovic,Danny Vukovic,AUS,39-003,90,7,2,5,71.4,Sydney FC,Central Coast Mariners,30/03/2024,Central Coast Mariners
Andrew Redmayne,Andrew Redmayne,AUS,35-077,90,1,0,1,100,Sydney FC,Central Coast Mariners,30/03/2024,Sydney FC
Oliver Sail,Oliver Sail,NZL,28-078,90,7,2,5,71.4,Melbourne Victory,Perth Glory,31/03/2024,Perth Glory
Paul Izzo,Paul Izzo,AUS,29-085,90,3,1,2,66.7,Melbourne Victory,Perth Glory,31/03/2024,Melbourne Victory
Macklin Freke,Macklin Freke,AUS,25-085,90,7,1,6,85.7,Wellington Phoenix,Brisbane Roar,31/03/2024,Brisbane Roar
Alex Paulsen,Alex Paulsen,NZL,21-271,90,8,0,8,100,Wellington Phoenix,Brisbane Roar,31/03/2024,Wellington Phoenix
Lawrence Thomas,Lawrence Thomas,AUS,31-328,90,4,1,3,75,Macarthur FC,Western Sydney Wanderers,1/04/2024,Western Sydney Wanderers
Filip Kurto,Filip Kurto,POL,32-292,90,5,3,2,40,Macarthur FC,Western Sydney Wanderers,1/04/2024,Macarthur FC
Jamie Young,Jamie Young,ENG,38-221,90,3,2,2,66.7,Central Coast Mariners,Melbourne City,2/04/2024,Melbourne City
Danny Vukovic,Danny Vukovic,AUS,39-006,90,10,1,9,90,Central Coast Mariners,Melbourne City,2/04/2024,Central Coast Mariners
Andrew Redmayne,Andrew Redmayne,AUS,35-081,90,5,1,4,80,Perth Glory,Sydney FC,3/04/2024,Sydney FC
Oliver Sail,Oliver Sail,NZL,28-081,90,1,1,1,100,Perth Glory,Sydney FC,3/04/2024,Perth Glory
Macklin Freke,Macklin Freke,AUS,25-090,90,5,1,5,80,Western Sydney Wanderers,Brisbane Roar,5/04/2024,Brisbane Roar
Lawrence Thomas,Lawrence Thomas,AUS,31-332,90,4,2,2,50,Western Sydney Wanderers,Brisbane Roar,5/04/2024,Western Sydney Wanderers
Alex Paulsen,Alex Paulsen,NZL,21-277,90,6,2,4,66.7,Central Coast Mariners,Wellington Phoenix,6/04/2024,Wellington Phoenix
Danny Vukovic,Danny Vukovic,AUS,39-010,90,3,1,2,66.7,Central Coast Mariners,Wellington Phoenix,6/04/2024,Central Coast Mariners
Jamie Young,Jamie Young,ENG,38-225,90,5,2,4,80,Melbourne Victory,Melbourne City,6/04/2024,Melbourne City
Paul Izzo,Paul Izzo,AUS,29-091,90,2,1,1,50,Melbourne Victory,Melbourne City,6/04/2024,Melbourne Victory
Filip Kurto,Filip Kurto,POL,32-297,90,10,4,6,60,Western United,Macarthur FC,6/04/2024,Macarthur FC
Tom Heward-Belle,Tom Heward-Belle,AUS,27-026,90,4,2,3,75,Western United,Macarthur FC,6/04/2024,Western United
Andrew Redmayne,Andrew Redmayne,AUS,35-085,90,6,3,3,50,Newcastle Jets,Sydney FC,7/04/2024,Sydney FC
Ryan Scott,Ryan Scott,AUS,28-111,90,4,1,3,75,Newcastle Jets,Sydney FC,7/04/2024,Newcastle Jets
James Delianov,James Delianov,AUS,24-170,90,4,2,2,50,Perth Glory,Adelaide United,7/04/2024,Adelaide United
Oliver Sail,Oliver Sail,NZL,28-085,90,9,4,5,55.6,Perth Glory,Adelaide United,7/04/2024,Perth Glory
Filip Kurto,Filip Kurto,POL,32-303,90,7,1,7,85.7,Adelaide United,Macarthur FC,12/04/2024,Macarthur FC
James Delianov,James Delianov,AUS,24-175,90,4,2,2,50,Adelaide United,Macarthur FC,12/04/2024,Adelaide United
Paul Izzo,Paul Izzo,AUS,29-097,90,5,1,4,80,Wellington Phoenix,Melbourne Victory,12/04/2024,Melbourne Victory
Alex Paulsen,Alex Paulsen,NZL,21-283,90,3,0,3,100,Wellington Phoenix,Melbourne Victory,12/04/2024,Wellington Phoenix
Ryan Scott,Ryan Scott,AUS,28-117,90,4,0,4,100,Brisbane Roar,Newcastle Jets,13/04/2024,Newcastle Jets
Macklin Freke,Macklin Freke,AUS,25-098,90,3,2,1,33.3,Brisbane Roar,Newcastle Jets,13/04/2024,Brisbane Roar
