Player,Player,Nation,Age,Minutes,ShotsOnTargetAgainst,GoalsAgainst,Saves,Save%,HomeTeam,Away_Team,Date,PlayerTeam
Jerrad Tyson,Jerrad Tyson,AUS,27-102,90,2,1,1,50,Western Sydney Wanderers,Perth Glory,1/01/2017,Western Sydney Wanderers
Jack Duncan,Jack Duncan,AUS,23-258,90,4,4,1,25,Melbourne Victory,Newcastle Jets,2/01/2017,Newcastle Jets
Lawrence Thomas,Lawrence Thomas,AUS,24-238,90,5,2,3,60,Melbourne Victory,Newcastle Jets,2/01/2017,Melbourne Victory
Glen Moss,Glen Moss,NZL,33-352,90,5,2,3,60,Perth Glory,Wellington Phoenix,5/01/2017,Wellington Phoenix
Liam Reddy,Liam Reddy,AUS,35-150,90,8,1,7,87.5,Perth Glory,Wellington Phoenix,5/01/2017,Perth Glory
Vedran Janjetović,Vedran Janjetovic,AUS,29-139,90,3,1,2,66.7,Melbourne City,Western Sydney Wanderers,6/01/2017,Western Sydney Wanderers
Dean Bouzanis,Dean Bouzanis,AUS,26-096,90,2,0,2,100,Melbourne City,Western Sydney Wanderers,6/01/2017,Melbourne City
Lawrence Thomas,Lawrence Thomas,AUS,24-243,90,5,0,5,100,Adelaide United,Melbourne Victory,7/01/2017,Melbourne Victory
Eugene Galekovic,Eugene Galekovic,AUS,35-209,90,4,2,2,50,Adelaide United,Melbourne Victory,7/01/2017,Adelaide United
Jack Duncan,Jack Duncan,AUS,23-263,90,2,2,1,50,Brisbane Roar,Newcastle Jets,7/01/2017,Newcastle Jets
Michael Theo,Michael Theo,AUS,35-331,90,8,3,5,62.5,Brisbane Roar,Newcastle Jets,7/01/2017,Brisbane Roar
Danny Vukovic,Danny Vukovic,AUS,31-287,90,3,2,1,33.3,Central Coast Mariners,Sydney FC,8/01/2017,Sydney FC
Paul Izzo,Paul Izzo,AUS,22-002,90,9,3,6,66.7,Central Coast Mariners,Sydney FC,8/01/2017,Central Coast Mariners
Dean Bouzanis,Dean Bouzanis,AUS,26-102,90,2,2,0,0,Adelaide United,Melbourne City,12/01/2017,Melbourne City
Eugene Galekovic,Eugene Galekovic,AUS,35-214,90,4,1,3,75,Adelaide United,Melbourne City,12/01/2017,Adelaide United
Michael Theo,Michael Theo,AUS,35-337,90,3,3,1,33.3,Melbourne Victory,Brisbane Roar,13/01/2017,Brisbane Roar
Lawrence Thomas,Lawrence Thomas,AUS,24-249,90,5,2,3,60,Melbourne Victory,Brisbane Roar,13/01/2017,Melbourne Victory
Vedran Janjetović,Vedran Janjetovic,AUS,29-147,90,5,0,5,100,Sydney FC,Western Sydney Wanderers,14/01/2017,Western Sydney Wanderers
