Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,date,player_team,date,player_team
Luke Amos,21,eng ENG,CM,28-007,72,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Taras Gomulka,12,au AUS,MF,23-167,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Nicholas Pennington,7,au AUS,CM,26-074,90,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Nikola Mileusnic,10,au AUS,RM,31-228,69,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Trent Ostler,20,au AUS,DF,22-333,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Yuto Misao,17,jp JPN,LB,33-320,90,0,0,0,0,4,0,1,0,1,1,0,2,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Takuya Okamoto,36,jp JPN,CB,32-257,90,0,0,0,0,0,0,0,0,2,1,0,4,1,1,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Tomislav Mrcela,29,au AUS,CB,34-152,90,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Josh Risdon,19,au AUS,RB,32-218,79,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Anas Hamzaoui,3,be BEL,DF,28-231,11,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Oliver Sail,1,nz NZL,GK,29-048,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Perth Glory
Zac Sapsford,7,au AUS,FW,22-198,72,0,1,0,0,5,4,0,0,0,1,0,1,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Marcus Antonsson,9,se SWE,FW,33-298,18,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Brandon Borrello,26,au AUS,FW,29-220,83,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Juan Mata,64,es ESP,"FW,MF",36-308,7,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Bozhidar Kraev,23,bg BUL,LM,27-252,72,1,0,0,0,4,1,0,0,1,3,0,0,2,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Jarrod Carluccio,17,au AUS,FW,24-022,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Joshua Brillante,25,au AUS,CM,31-342,72,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Dean Pelekanos,13,au AUS,MF,25-056,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Oscar Priestman,18,au AUS,CM,21-342,90,1,0,0,0,1,1,0,0,0,2,0,0,1,2,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Aydan Hammond,21,au AUS,RM,21-069,90,2,0,0,0,5,4,0,0,2,0,0,0,2,1,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Jack Clisby,19,au AUS,LB,33-014,72,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Alex Gersbach,3,au AUS,"DF,MF",27-298,18,0,0,0,0,1,0,1,0,1,0,0,3,1,1,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Alex Bonetig,4,au AUS,CB,22-194,90,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Anthony Pantazopoulos,22,au AUS,CB,21-314,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Gabriel Cleur,2,au AUS,RB,27-030,90,0,0,0,0,2,0,0,0,0,1,0,6,1,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
Lawrence Thomas,20,au AUS,GK,32-297,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Western Sydney Wanderers,Perth Glory,2/03/2025,Western Sydney Wanderers
