gameId,gameTimeLocal,gameTimeUTC,duration,gameCode,gameStatusText,gameStatus,regulationPeriods,period,arenaId,arenaName,arenaCity,arenaState,arenaCountry,arenaTimezone,teamId,teamName,teamCity,teamTricode,score,teamStatus,status,order,personId,jerseyNum,position,starter,oncourt,played,name,nameI,firstName,familyName,statistics.assists,statistics.blocks,statistics.blocksReceived,statistics.fieldGoalsAttempted,statistics.fieldGoalsMade,statistics.fieldGoalsPercentage,statistics.foulsOffensive,statistics.foulsDrawn,statistics.foulsPersonal,statistics.foulsTechnical,statistics.freeThrowsAttempted,statistics.freeThrowsMade,statistics.freeThrowsPercentage,statistics.minus,statistics.minutes,statistics.minutesCalculated,statistics.plus,statistics.plusMinusPoints,statistics.points,statistics.pointsFastBreak,statistics.pointsInThePaint,statistics.pointsSecondChance,statistics.reboundsDefensive,statistics.reboundsOffensive,statistics.reboundsTotal,statistics.steals,statistics.threePointersAttempted,statistics.threePointersMade,statistics.threePointersPercentage,statistics.turnovers,statistics.twoPointersAttempted,statistics.twoPointersMade,statistics.twoPointersPercentage,notPlayingReason,notPlayingDescription
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,15,1642439,41,,0,0,0,Quincy Olivari,Q. Olivari,Quincy,Olivari,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_COACH,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,16,1642422,94,,0,0,0,Armel Traoré,A. Traoré,Armel,Traoré,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_GLEAGUE_TWOWAY,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,17,1629020,2,,0,0,0,Jarred Vanderbilt,J. Vanderbilt,Jarred,Vanderbilt,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_INJURY,Right Foot; Surgery Recovery
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612747,Lakers,Los Angeles,LAL,100,AWAY,INACTIVE,18,1626174,35,,0,0,0,Christian Wood,C. Wood,Christian,Wood,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,INACTIVE_INJURY,Left Knee; Surgery Recovery
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612756,Suns,Phoenix,PHX,127,HOME,ACTIVE,1,203078,3,SF,1,0,1,Bradley Beal,B. Beal,Bradley,Beal,2,1,0,15,10,0.666666666666666,0,3,3,0,0,0,0.0,61.0,PT27M23.00S,PT28M,69.0,8.0,23,5,12,0,2,0,2,0,6,3,0.5,3,9,7,0.777777777777778,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612756,Suns,Phoenix,PHX,127,HOME,ACTIVE,2,201142,35,PF,1,0,1,Kevin Durant,K. Durant,Kevin,Durant,2,0,1,17,9,0.529411764705882,0,1,2,0,2,2,1.0,62.0,PT29M43.00S,PT30M,83.0,21.0,23,5,8,0,5,1,6,0,6,3,0.5,0,11,6,0.545454545454545,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612756,Suns,Phoenix,PHX,127,HOME,ACTIVE,3,203994,20,C,1,0,1,Jusuf Nurkić,J. Nurkić,Jusuf,Nurkić,3,1,1,11,5,0.45454545454545503,0,2,3,0,1,1,1.0,57.0,PT27M14.00S,PT27M,77.0,20.0,12,0,8,0,11,1,12,1,4,1,0.25,0,7,4,0.5714285714285711,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612756,Suns,Phoenix,PHX,127,HOME,ACTIVE,4,1626164,1,SG,1,0,1,Devin Booker,D. Booker,Devin,Booker,10,1,0,17,10,0.5882352941176471,0,2,0,0,4,3,0.75,69.0,PT34M08.00S,PT34M,98.0,29.0,26,2,8,5,1,1,2,1,7,3,0.428571428571429,3,10,7,0.7,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612756,Suns,Phoenix,PHX,127,HOME,ACTIVE,5,1626145,21,PG,1,0,1,Tyus Jones,T. Jones,Tyus,Jones,6,0,0,8,4,0.5,0,0,1,0,0,0,0.0,63.0,PT33M21.11S,PT33M,86.0,23.0,8,2,6,0,1,0,1,5,2,0,0.0,1,6,4,0.666666666666666,,
0022400039,2024-11-26T20:00:00-07:00,2024-11-27T03:00:00Z,139,20241126/LALPHX,Final,3,4,4,1000051,Footprint Center,Phoenix,AZ,US,America/Phoenix,1610612756,Suns,Phoenix,PHX,127,HOME,ACTIVE,6,1626220,00,,0,0,1,Royce O'Neale,R. O'Neale,Royce,O'Neale,1,0,0,6,3,0.5,0,0,0,0,0,0,0.0,43.0,PT23M43.97S,PT24M,56.0,13.0,9,3,0,0,8,1,9,1,6,3,0.5,1,0,0,0.0,,
