DATE,HOME_TEAM,AWAY_TEAM,HOME_HT_SCORE,AWAY_HT_SCORE
27/10/2018,Central Coast Mariners,Melbourne City,1,0
27/10/2018,Sydney FC,Western Sydney Wanderers,1,0
28/10/2018,Brisbane Roar,Wellington Phoenix,0,0
28/10/2018,Melbourne Victory,Perth Glory,0,2
2/11/2018,Melbourne City,Sydney FC,0,1
3/11/2018,Newcastle Jets,Melbourne Victory,0,0
3/11/2018,Perth Glory,Brisbane Roar,1,0
3/11/2018,Wellington Phoenix,Western Sydney Wanderers,0,1
4/11/2018,Central Coast Mariners,Adelaide United,0,2
9/11/2018,Melbourne City,Wellington Phoenix,1,0
10/11/2018,Newcastle Jets,Sydney FC,0,1
10/11/2018,Western Sydney Wanderers,Brisbane Roar,2,1
11/11/2018,Adelaide United,Perth Glory,0,0
11/11/2018,Melbourne Victory,Central Coast Mariners,3,0
23/11/2018,Western Sydney Wanderers,Newcastle Jets,0,1
24/11/2018,Brisbane Roar,Melbourne City,1,0
24/11/2018,Wellington Phoenix,Adelaide United,1,1
25/11/2018,Perth Glory,Central Coast Mariners,1,1
25/11/2018,Sydney FC,Melbourne Victory,1,1
30/11/2018,Adelaide United,Brisbane Roar,1,0
1/12/2018,Central Coast Mariners,Sydney FC,1,1
1/12/2018,Melbourne Victory,Western Sydney Wanderers,3,0
2/12/2018,Melbourne City,Newcastle Jets,2,0
2/12/2018,Wellington Phoenix,Perth Glory,1,0
7/12/2018,Western Sydney Wanderers,Central Coast Mariners,1,0
8/12/2018,Melbourne Victory,Adelaide United,0,0
8/12/2018,Perth Glory,Melbourne City,1,0
8/12/2018,Sydney FC,Wellington Phoenix,0,3
9/12/2018,Newcastle Jets,Brisbane Roar,1,0
14/12/2018,Brisbane Roar,Melbourne Victory,2,4
15/12/2018,Wellington Phoenix,Central Coast Mariners,2,0
15/12/2018,Western Sydney Wanderers,Sydney FC,1,1
16/12/2018,Adelaide United,Melbourne City,0,1
16/12/2018,Newcastle Jets,Perth Glory,0,2
21/12/2018,Perth Glory,Sydney FC,0,1
22/12/2018,Melbourne City,Melbourne Victory,0,0
22/12/2018,Wellington Phoenix,Brisbane Roar,1,1
23/12/2018,Central Coast Mariners,Newcastle Jets,1,0
26/12/2018,Adelaide United,Western Sydney Wanderers,0,1
28/12/2018,Melbourne Victory,Wellington Phoenix,0,0
29/12/2018,Sydney FC,Brisbane Roar,1,1
30/12/2018,Newcastle Jets,Adelaide United,0,1
31/12/2018,Central Coast Mariners,Perth Glory,0,3
1/01/2019,Western Sydney Wanderers,Melbourne City,0,2
2/01/2019,Newcastle Jets,Brisbane Roar,1,0
4/01/2019,Sydney FC,Central Coast Mariners,0,1
5/01/2019,Adelaide United,Wellington Phoenix,0,0
5/01/2019,Western Sydney Wanderers,Melbourne Victory,0,1
6/01/2019,Brisbane Roar,Perth Glory,2,0
6/01/2019,Melbourne City,Newcastle Jets,2,1
8/01/2019,Western Sydney Wanderers,Wellington Phoenix,1,1
9/01/2019,Adelaide United,Melbourne Victory,2,0
9/01/2019,Perth Glory,Sydney FC,3,0
11/01/2019,Melbourne City,Brisbane Roar,0,0
12/01/2019,Melbourne Victory,Newcastle Jets,0,0
12/01/2019,Wellington Phoenix,Central Coast Mariners,0,2
13/01/2019,Perth Glory,Western Sydney Wanderers,0,1
13/01/2019,Sydney FC,Adelaide United,1,0
15/01/2019,Brisbane Roar,Melbourne Victory,0,1
16/01/2019,Central Coast Mariners,Melbourne City,1,0
18/01/2019,Western Sydney Wanderers,Adelaide United,0,1
19/01/2019,Melbourne City,Perth Glory,0,0
19/01/2019,Sydney FC,Newcastle Jets,1,0
20/01/2019,Central Coast Mariners,Brisbane Roar,1,1
20/01/2019,Melbourne Victory,Wellington Phoenix,1,3
22/01/2019,Melbourne City,Western Sydney Wanderers,2,1
23/01/2019,Newcastle Jets,Central Coast Mariners,0,0
23/01/2019,Perth Glory,Adelaide United,0,0
23/01/2019,Wellington Phoenix,Sydney FC,0,1
25/01/2019,Brisbane Roar,Western Sydney Wanderers,0,2
26/01/2019,Melbourne Victory,Sydney FC,1,0
26/01/2019,Wellington Phoenix,Melbourne City,1,0
27/01/2019,Adelaide United,Central Coast Mariners,0,1
27/01/2019,Perth Glory,Newcastle Jets,1,0
1/02/2019,Western Sydney Wanderers,Newcastle Jets,0,3
2/02/2019,Adelaide United,Brisbane Roar,1,3
2/02/2019,Central Coast Mariners,Melbourne Victory,2,0
2/02/2019,Perth Glory,Wellington Phoenix,2,0
3/02/2019,Sydney FC,Melbourne City,1,0
7/02/2019,Newcastle Jets,Wellington Phoenix,1,0
8/02/2019,Brisbane Roar,Sydney FC,0,0
9/02/2019,Melbourne City,Adelaide United,0,1
9/02/2019,Western Sydney Wanderers,Central Coast Mariners,1,0
10/02/2019,Melbourne Victory,Perth Glory,0,0
15/02/2019,Newcastle Jets,Melbourne City,1,0
15/02/2019,Wellington Phoenix,Melbourne Victory,0,0
16/02/2019,Adelaide United,Western Sydney Wanderers,1,1
16/02/2019,Perth Glory,Brisbane Roar,3,0
17/02/2019,Sydney FC,Central Coast Mariners,0,1
22/02/2019,Central Coast Mariners,Brisbane Roar,2,3
23/02/2019,Melbourne Victory,Melbourne City,0,1
23/02/2019,Wellington Phoenix,Sydney FC,0,0
24/02/2019,Newcastle Jets,Adelaide United,0,0
24/02/2019,Western Sydney Wanderers,Perth Glory,0,1
1/03/2019,Sydney FC,Adelaide United,1,0
2/03/2019,Melbourne Victory,Newcastle Jets,0,1
3/03/2019,Melbourne City,Perth Glory,2,0
8/03/2019,Brisbane Roar,Western Sydney Wanderers,1,3
9/03/2019,Central Coast Mariners,Wellington Phoenix,0,4
15/03/2019,Adelaide United,Perth Glory,0,1
16/03/2019,Melbourne Victory,Brisbane Roar,2,0
16/03/2019,Newcastle Jets,Central Coast Mariners,0,0
17/03/2019,Sydney FC,Melbourne City,0,0
17/03/2019,Wellington Phoenix,Western Sydney Wanderers,3,0
29/03/2019,Brisbane Roar,Sydney FC,0,1
30/03/2019,Perth Glory,Melbourne Victory,0,1
30/03/2019,Wellington Phoenix,Newcastle Jets,1,0
30/03/2019,Western Sydney Wanderers,Melbourne City,1,0
31/03/2019,Central Coast Mariners,Adelaide United,0,1
5/04/2019,Melbourne City,Brisbane Roar,1,0
6/04/2019,Newcastle Jets,Western Sydney Wanderers,0,1
6/04/2019,Sydney FC,Melbourne Victory,1,1
7/04/2019,Adelaide United,Wellington Phoenix,3,0
7/04/2019,Central Coast Mariners,Perth Glory,0,2
12/04/2019,Brisbane Roar,Wellington Phoenix,2,0
13/04/2019,Melbourne City,Adelaide United,0,0
13/04/2019,Western Sydney Wanderers,Sydney FC,0,1
14/04/2019,Melbourne Victory,Central Coast Mariners,1,0
14/04/2019,Perth Glory,Newcastle Jets,0,0
18/04/2019,Sydney FC,Perth Glory,1,0
19/04/2019,Adelaide United,Melbourne Victory,0,0
20/04/2019,Brisbane Roar,Newcastle Jets,0,2
20/04/2019,Central Coast Mariners,Western Sydney Wanderers,1,0
21/04/2019,Wellington Phoenix,Melbourne City,1,1
25/04/2019,Brisbane Roar,Adelaide United,2,1
26/04/2019,Melbourne City,Central Coast Mariners,2,0
27/04/2019,Newcastle Jets,Sydney FC,1,0
27/04/2019,Western Sydney Wanderers,Melbourne Victory,0,1
28/04/2019,Perth Glory,Wellington Phoenix,2,0
3/05/2019,Melbourne Victory,Wellington Phoenix,1,0
5/05/2019,Adelaide United,Melbourne City,0,0
10/05/2019,Perth Glory,Adelaide United,1,0
12/05/2019,Sydney FC,Melbourne Victory,3,0
19/05/2019,Perth Glory,Sydney FC,0,0
11/10/2019,Adelaide United,Sydney FC,1,2
12/10/2019,Melbourne Victory,Melbourne City,0,0
12/10/2019,Western Sydney Wanderers,Central Coast Mariners,1,1
13/10/2019,Perth Glory,Brisbane Roar,1,0
13/10/2019,Wellington Phoenix,Western United,0,1
18/10/2019,Melbourne Victory,Western Sydney Wanderers,0,0
19/10/2019,Central Coast Mariners,Newcastle Jets,1,0
19/10/2019,Western United,Perth Glory,0,0
20/10/2019,Melbourne City,Adelaide United,2,0
20/10/2019,Sydney FC,Wellington Phoenix,1,0
25/10/2019,Brisbane Roar,Melbourne Victory,0,1
26/10/2019,Newcastle Jets,Adelaide United,1,0
26/10/2019,Western Sydney Wanderers,Sydney FC,1,0
27/10/2019,Wellington Phoenix,Perth Glory,0,2
27/10/2019,Western United,Melbourne City,0,1
1/11/2019,Sydney FC,Newcastle Jets,2,1
2/11/2019,Melbourne Victory,Western United,2,2
2/11/2019,Western Sydney Wanderers,Brisbane Roar,0,0
3/11/2019,Melbourne City,Wellington Phoenix,2,1
3/11/2019,Perth Glory,Central Coast Mariners,1,2
8/11/2019,Melbourne City,Central Coast Mariners,1,0
9/11/2019,Newcastle Jets,Perth Glory,1,0
9/11/2019,Western United,Western Sydney Wanderers,1,1
10/11/2019,Adelaide United,Brisbane Roar,0,0
10/11/2019,Melbourne Victory,Wellington Phoenix,0,1
16/11/2019,Central Coast Mariners,Adelaide United,1,3
16/11/2019,Western United,Newcastle Jets,0,1
